source,destination,fare,total_distance,intermediate_station_count,stations_between,source_code,destination_code
Aarey JVLR,SEEPZ,10,1.482 km,0,,ARYJ,SEPZ
Aarey JVLR,MIDC-Andheri,20,2.726 km,1,SEEPZ,ARYJ,MIDC
Aarey JVLR,Marol Naka,20,3.951 km,2,SEEPZ -> MIDC-Andheri,ARYJ,MNK
Aarey JVLR,CSMI-Airport - T2,30,5.065 km,3,SEEPZ -> MIDC-Andheri -> Marol Naka,ARYJ,CSIA
Aarey JVLR,Sahar Road,30,6.017 km,4,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2,ARYJ,SHRR
Aarey JVLR,CSMI Airport-T1,30,7.74 km,5,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road,ARYJ,CIAD
Aarey JVLR,Santacruz Metro,40,10.013 km,6,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1,ARYJ,STZM
Aarey JVLR,Bandra Colony,40,11.013 km,7,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro,ARYJ,VIDN
Aarey JVLR,Bandra-Kurla Complex,50,12.264 km,8,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony,ARYJ,BDRM
Aarey JVLR,Dharavi,50,14.088 km,9,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex,ARYJ,DHAV
Aarey JVLR,Shitala Devi Mandir,50,15.899 km,10,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex -> Dharavi,ARYJ,SDIT
Aarey JVLR,Dadar Metro,50,16.991 km,11,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex -> Dharavi -> Shitala Devi Mandir,ARYJ,DDRM
Aarey JVLR,Siddhivinayak,60,18.984 km,12,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex -> Dharavi -> Shitala Devi Mandir -> Dadar Metro,ARYJ,SIDV
Aarey JVLR,Worli,60,20.61 km,13,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex -> Dharavi -> Shitala Devi Mandir -> Dadar Metro -> Siddhivinayak,ARYJ,WOR
Aarey JVLR,Acharya Atre Chowk,60,22.092 km,14,SEEPZ -> MIDC-Andheri -> Marol Naka -> CSMI-Airport - T2 -> Sahar Road -> CSMI Airport-T1 -> Santacruz Metro -> Bandra Colony -> Bandra-Kurla Complex -> Dharavi -> Shitala Devi Mandir -> Dadar Metro -> Siddhivinayak -> Worli,ARYJ,ACA
